date,total_sleep_hours
2021-06-30,9.75
2021-07-01,6.25
2021-07-02,6.5
2021-07-03,0.0
2021-07-04,7.0
2021-07-05,6.75
2021-07-06,6.5
2021-07-07,6.25
2021-07-08,6.0
2021-07-09,6.5
2021-07-10,9.5
2021-07-11,5.75
2021-07-12,6.0
2021-07-13,7.25
2021-07-14,9.0
2021-07-15,7.5
2021-07-16,8.75
2021-07-17,10.0
2021-07-18,8.5
2021-07-19,5.5
2021-07-20,8.75
2021-07-21,6.25
2021-07-22,6.3
2021-07-23,7.25
2021-07-24,7.25
2021-07-25,7.25
2021-07-26,7.0
2021-07-27,7.15
2021-07-28,5.15
2021-07-29,5.75
2021-07-30,9.0
2021-07-31,4.25
2021-08-01,9.0
2021-08-02,6.0
2021-08-03,6.5
2021-08-04,7.25
2021-08-05,6.75
2021-08-06,10.5
2021-08-07,6.5
2021-08-08,2.5
2021-08-09,6.0
2021-08-10,7.0
2021-08-11,9.0
2021-08-12,9.0
2021-08-13,7.5
2021-08-14,11.5
2021-08-15,5.2
2021-08-16,7.0
2021-08-17,7.0
2021-08-18,9.5
2021-08-19,6.0
2021-08-20,6.5
2021-08-21,7.25
2021-08-22,1.5
2021-08-23,6.75
2021-08-24,3.75
2021-08-25,8.5
2021-08-26,5.8
2021-08-27,7.25
2021-08-28,10.0
2021-08-29,6.0
2021-08-30,8.0
2021-08-31,6.0
2021-09-01,7.0
2021-09-02,8.0
2021-09-03,8.0
2021-09-04,4.5
2021-09-05,10.0
2021-09-06,6.15
2021-09-07,4.0
2021-09-08,7.0
2021-09-09,0.0
2021-09-10,7.0
2021-09-11,8.5
2021-09-12,5.5
2021-09-13,4.5
2021-09-14,4.5
2021-09-15,0.0
2021-09-16,6.0
2021-09-17,6.0
2021-09-18,7.0
2021-09-19,4.0
2021-09-20,7.0
2021-09-21,5.0
2021-09-22,7.5
2021-09-23,6.5
2021-09-24,5.5
2021-09-25,6.0
2021-09-26,8.5
2021-09-27,4.5
2021-09-28,5.5
2021-09-29,4.5
2021-09-30,6.0
2021-10-01,5.5
2021-10-02,6.25
2021-10-03,6.0
2021-10-04,5.5
2021-10-05,5.5
2021-10-06,4.5
2021-10-07,6.5
2021-10-08,7.5
2021-10-09,7.5
2021-10-10,4.5
2021-10-11,6.75
2021-10-12,6.75
2021-10-13,4.75
2021-10-14,7.0
2021-10-15,6.75
2021-10-16,7.0
2021-10-17,5.5
2021-10-18,5.5
2021-10-19,5.75
2021-10-20,7.25
2021-10-21,6.0
2021-10-22,7.5
2021-10-23,5.0
2021-10-24,5.75
2021-10-25,7.25
2021-10-26,6.75
2021-10-27,8.25
2021-10-28,6.0
2021-10-29,7.25
2021-10-30,9.5
2021-10-31,6.5
2021-11-01,7.0
2021-11-02,6.85
2021-11-03,6.9
2021-11-04,8.0
2021-11-05,6.33
2021-11-06,9.5
2021-11-07,8.4
2021-11-08,6.15
2021-11-09,7.35
2021-11-10,5.5
2021-11-11,5.0
2021-11-12,7.0
2021-11-13,7.0
2021-11-14,8.0
2021-11-15,6.25
2021-11-16,7.0
2021-11-17,7.5
2021-11-18,8.25
2021-11-19,6.75
2021-11-20,10.5
2021-11-21,5.5
2021-11-22,6.15
2021-11-23,8.0
2021-11-24,6.5
2021-11-25,5.5
2021-11-26,9.5
2021-11-27,6.75
2021-11-28,7.75
2021-11-29,6.25
2021-11-30,6.0
2021-12-01,6.0
2021-12-02,6.25
2021-12-03,5.5
2021-12-04,10.05
2021-12-05,5.5
2021-12-06,6.5
2021-12-07,4.5
2021-12-08,9.0
2021-12-09,5.0
2021-12-10,4.65
2021-12-11,7.0
2021-12-12,4.85
2021-12-13,5.0
2021-12-14,6.5
2021-12-15,4.75
2021-12-16,5.5
2021-12-17,6.75
2021-12-18,1.5
2021-12-19,5.5
2021-12-20,4.75
2021-12-21,8.35
2021-12-22,7.0
2021-12-23,6.75
2021-12-24,7.5
2021-12-25,7.75
2021-12-26,5.5
2021-12-27,6.0
2021-12-28,4.5
2021-12-29,6.5
2021-12-30,5.25
2021-12-31,5.35
2022-01-01,6.75
2022-01-02,5.5
2022-01-03,6.25
2022-01-04,6.75
2022-01-05,7.0
2022-01-06,4.0
2022-01-07,7.25
2022-01-08,6.5
2022-01-09,8.85
2022-01-10,5.5
2022-01-11,5.75
2022-01-12,5.0
2022-01-13,8.0
2022-01-14,5.5
2022-01-15,8.5
2022-01-16,7.0
2022-01-17,5.25
2022-01-18,6.5
2022-01-19,7.5
2022-01-20,6.0
2022-01-21,6.5
2022-01-22,7.75
2022-01-23,6.25
2022-01-24,6.5
2022-01-25,9.0
2022-01-26,5.5
2022-01-27,7.0
2022-01-28,7.0
2022-01-29,0.0
2022-01-30,7.75
2022-01-31,5.0
2022-02-01,7.75
2022-02-02,7.0
2022-02-03,7.0
2022-02-04,6.5
2022-02-05,5.75
2022-02-06,7.75
2022-02-07,4.5
2022-02-08,8.0
2022-02-09,8.0
2022-02-10,7.0
2022-02-11,7.0
2022-02-12,7.0
2022-02-13,9.0
2022-02-14,4.5
2022-02-15,6.0
2022-02-16,8.0
2022-02-17,6.5
2022-02-18,8.5
2022-02-19,11.25
2022-02-20,5.0
2022-02-21,6.0
2022-02-22,8.5
2022-02-23,8.0
2022-02-24,6.5
2022-02-25,9.5
2022-02-26,8.0
2022-02-27,6.0
2022-02-28,7.5
2022-03-01,6.0
2022-03-02,9.0
2022-03-03,6.5
2022-03-04,4.0
2022-03-05,7.5
2022-03-06,5.5
2022-03-07,5.75
2022-03-08,6.25
2022-03-09,7.0
2022-03-10,7.0
2022-03-11,6.75
2022-03-12,6.5
2022-03-13,8.75
2022-03-14,7.0
2022-03-15,5.0
2022-03-16,7.0
2022-03-17,9.5
2022-03-18,6.75
2022-03-19,7.0
2022-03-20,8.0
2022-03-21,4.5
2022-03-22,8.5
2022-03-23,8.0
2022-03-24,6.5
2022-03-25,7.5
2022-03-26,8.5
2022-03-27,8.5
2022-03-28,7.0
2022-03-29,6.0
2022-03-30,7.0
2022-03-31,8.5
2022-04-01,7.0
2022-04-02,6.5
2022-04-03,8.5
2022-04-04,6.0
2022-04-05,8.5
2022-04-06,6.5
2022-04-07,6.5
2022-04-08,7.75
2022-04-09,6.75
2022-04-10,8.75
2022-04-11,6.0
2022-04-12,7.25
2022-04-13,5.75
2022-04-14,8.5
2022-04-15,7.0
2022-04-16,7.0
2022-04-17,9.25
2022-04-18,6.75
2022-04-19,7.75
2022-04-20,7.0
2022-04-21,7.0
2022-04-22,7.0
2022-04-23,4.5
2022-04-24,9.0
2022-04-25,6.25
2022-04-26,5.0
2022-04-27,8.0
2022-04-28,7.0
2022-04-29,6.5
2022-04-30,8.25
2022-05-01,7.0
2022-05-02,5.25
2022-05-03,8.0
2022-05-04,7.5
2022-05-05,8.75
2022-05-06,5.75
2022-05-07,6.0
2022-05-08,6.5
2022-05-09,7.0
2022-05-10,6.0
2022-05-11,9.0
2022-05-12,6.5
2022-05-13,11.0
2022-05-14,8.5
2022-05-15,5.75
2022-05-16,4.5
2022-05-17,7.75
2022-05-18,6.5
2022-05-19,8.0
2022-05-20,6.5
2022-05-21,7.5
2022-05-22,8.0
2022-05-23,6.75
2022-05-24,5.5
2022-05-25,8.0
2022-05-26,6.25
2022-05-27,7.25
2022-05-28,9.25
2022-05-29,7.25
2022-05-30,6.5
2022-05-31,6.5
2022-06-01,7.5
2022-06-02,9.0
2022-06-03,7.0
2022-06-04,9.5
2022-06-05,6.5
2022-06-06,7.25
2022-06-07,5.5
2022-06-08,5.0
2022-06-09,5.0
2022-06-10,9.0
2022-06-11,7.0
2022-06-12,7.75
2022-06-13,5.5
2022-06-14,5.0
2022-06-15,4.5
2022-06-16,6.5
2022-06-17,8.0
2022-06-18,5.15
2022-06-19,8.5
2022-06-20,7.25
2022-06-21,6.5
2022-06-22,4.5
2022-06-23,7.25
2022-06-24,9.5
2022-06-25,5.0
2022-06-26,10.5
2022-06-27,8.5
2022-06-28,7.5
2022-06-29,6.5
2022-06-30,9.25
2022-07-01,6.75
2022-07-02,9.5
2022-07-03,7.5
2022-07-04,5.0
2022-07-05,4.75
2022-07-06,6.5
2022-07-07,11.0
2022-07-08,6.0
2022-07-09,7.0
2022-07-10,9.5
2022-07-11,10.5
2022-07-12,0.0
2022-07-13,7.0
2022-07-14,4.5
2022-07-15,2.0
2022-07-16,10.0
2022-07-17,5.25
2022-07-18,7.25
2022-07-19,5.0
2022-07-20,11.0
2022-07-21,6.0
2022-07-22,11.5
2022-07-23,6.0
2022-07-24,5.5
2022-07-25,5.0
2022-07-26,5.0
2022-07-27,8.5
2022-07-28,6.5
2022-07-29,7.0
2022-07-30,8.0
2022-07-31,6.5
2022-08-01,0.0
2022-08-02,4.75
2022-08-03,4.5
2022-08-04,6.0
2022-08-05,7.5
2022-08-06,6.5
2022-08-07,10.0
2022-08-08,5.5
2022-08-09,8.75
2022-08-10,6.25
2022-08-11,8.5
2022-08-12,6.75
2022-08-13,4.5
2022-08-14,6.75
2022-08-15,5.0
2022-08-16,7.25
2022-08-17,10.25
2022-08-18,6.25
2022-08-19,8.0
2022-08-20,8.5
2022-08-21,6.5
2022-08-22,6.25
2022-08-23,6.0
2022-08-24,7.0
2022-08-25,7.25
2022-08-26,5.5
2022-08-27,11.0
2022-08-28,0.0
2022-08-29,4.0
2022-08-30,4.75
2022-08-31,0.0
2022-09-01,6.5
2022-09-02,8.0
2022-09-03,7.5
2022-09-04,8.5
2022-09-05,5.0
2022-09-06,6.0
2022-09-07,7.5
2022-09-08,6.0
2022-09-09,5.0
2022-09-10,0.0
2022-09-11,7.0
2022-09-12,7.0
2022-09-13,7.5
2022-09-14,8.0
2022-09-15,5.5
2022-09-16,6.5
2022-09-17,9.5
2022-09-18,7.5
2022-09-19,5.25
2022-09-20,6.5
2022-09-21,11.5
2022-09-22,8.0
2022-09-23,7.0
2022-09-24,11.9
2022-09-25,7.5
2022-09-26,6.0
2022-09-27,8.0
2022-09-28,6.0
2022-09-29,0.0
2022-09-30,10.0
2022-10-01,8.0
2022-10-02,7.0
2022-10-03,7.5
2022-10-04,8.0
2022-10-05,6.5
2022-10-06,9.5
2022-10-07,6.0
2022-10-08,8.0
2022-10-09,11.9
2022-10-10,7.0
2022-10-11,6.5
2022-10-12,0.0
2022-10-13,6.5
2022-10-14,0.0
2022-10-15,10.0
2022-10-16,0.0
2022-10-17,7.0
2022-10-18,7.0
2022-10-19,8.75
2022-10-20,7.9
2022-10-21,9.5
2022-10-22,8.0
2022-10-23,7.25
2022-10-24,5.75
2022-10-25,8.25
2022-10-26,6.0
2022-10-27,8.0
2022-10-28,8.0
2022-10-29,6.75
2022-10-30,10.0
2022-10-31,6.75
2022-11-01,5.0
2022-11-02,7.5
2022-11-03,12.75
2022-11-04,6.0
2022-11-05,8.25
2022-11-06,5.0
2022-11-07,6.5
2022-11-08,6.5
2022-11-09,4.99
2022-11-10,8.75
2022-11-11,9.5
2022-11-12,5.99
2022-11-13,10.5
2022-11-14,7.24
2022-11-15,5.49
2022-11-16,5.99
2022-11-17,6.24
2022-11-18,9.74
2022-11-19,9.5
2022-11-20,9.0
2022-11-21,7.24
2022-11-22,4.74
2022-11-23,5.49
2022-11-24,8.49
2022-11-25,9.0
2022-11-26,7.15
2022-11-27,7.9
2022-11-28,5.65
2022-11-29,7.74
2022-11-30,4.49
2022-12-01,12.99
2022-12-02,5.74
2022-12-03,9.49
2022-12-04,8.75
2022-12-05,6.49
2022-12-06,6.98
2022-12-07,5.99
2022-12-08,8.49
2022-12-09,4.49
2022-12-10,13.0
2022-12-11,8.49
2022-12-12,8.99
2022-12-13,6.49
2022-12-14,6.25
2022-12-15,5.5
2022-12-16,11.0
2022-12-17,9.0
2022-12-18,8.99
2022-12-19,7.9
2022-12-20,6.74
2022-12-21,8.0
2022-12-22,10.0
2022-12-23,3.7
2022-12-24,7.5
2022-12-25,9.0
2022-12-26,5.75
2022-12-27,8.25
2022-12-28,4.49
2022-12-29,5.5
2022-12-30,7.49
2022-12-31,8.0
2023-01-01,8.0
2023-01-02,7.49
2023-01-03,6.99
2023-01-04,6.99
2023-01-05,6.59
2023-01-06,3.99
2023-01-07,8.75
2023-01-08,5.7
2023-01-09,3.9
2023-01-10,5.99
2023-01-11,6.49
2023-01-12,5.99
2023-01-13,5.49
2023-01-14,9.55
2023-01-15,8.25
2023-01-16,5.99
2023-01-17,7.99
2023-01-18,10.5
2023-01-19,5.99
2023-01-20,5.49
2023-01-21,5.99
2023-01-22,4.99
2023-01-23,4.99
2023-01-24,6.5
2023-01-25,5.0
2023-01-26,7.49
2023-01-27,7.99
2023-01-28,7.5
2023-01-29,9.0
2023-01-30,5.0
2023-01-31,6.99
2023-02-01,5.3
2023-02-02,6.99
2023-02-03,6.5
2023-02-04,8.0
2023-02-05,10.0
2023-02-06,4.49
2023-02-07,6.5
2023-02-08,6.49
2023-02-09,5.49
2023-02-10,9.4
2023-02-11,7.5
2023-02-12,8.25
2023-02-13,3.1
2023-02-14,10.49
2023-02-15,6.49
2023-02-16,8.75
2023-02-17,5.0
2023-02-18,12.0
2023-02-19,5.99
2023-02-20,4.49
2023-02-21,9.5
2023-02-22,3.99
2023-02-23,12.0
2023-02-24,5.24
2023-02-25,11.0
2023-02-26,7.9
2023-02-27,6.99
2023-02-28,6.49
2023-03-01,7.0
2023-03-02,6.99
2023-03-03,5.5
2023-03-04,13.5
2023-03-05,11.0
2023-03-06,4.49
2023-03-07,6.99
2023-03-08,5.25
2023-03-09,11.0
2023-03-10,4.49
2023-03-11,11.0
2023-03-12,11.0
2023-03-13,4.5
2023-03-14,10.65
2023-03-15,5.0
2023-03-16,8.49
2023-03-17,3.9
2023-03-18,9.9
2023-03-19,8.49
2023-03-20,6.99
2023-03-21,7.49
2023-03-22,5.99
2023-03-23,8.99
2023-03-24,6.4
2023-03-25,10.0
2023-03-26,8.25
2023-03-27,6.49
2023-03-28,8.5
2023-03-29,9.0
2023-03-30,6.5
2023-03-31,9.0
2023-04-01,6.25
2023-04-02,7.75
2023-04-03,5.5
2023-04-04,6.4
2023-04-05,9.5
2023-04-06,7.0
2023-04-07,5.0
2023-04-08,13.5
2023-04-09,5.5
2023-04-10,5.49
2023-04-11,5.0
2023-04-12,7.0
2023-04-13,8.5
2023-04-14,6.5
2023-04-15,7.25
2023-04-16,4.75
2023-04-17,7.5
2023-04-18,8.5
2023-04-19,5.5
2023-04-20,9.5
2023-04-21,5.25
2023-04-22,8.15
2023-04-23,8.0
2023-04-24,7.75
2023-04-25,5.5
2023-04-26,7.5
2023-04-27,7.5
2023-04-28,7.5
2023-04-29,7.5
2023-04-30,7.99
2023-05-01,11.0
2023-05-02,6.5
2023-05-03,4.0
2023-05-04,6.0
2023-05-05,8.0
2023-05-06,7.5
2023-05-07,8.0
2023-05-08,7.0
2023-05-09,8.0
2023-05-10,8.0
2023-05-11,5.0
2023-05-12,5.9
2023-05-13,0.0
2023-05-14,4.9
2023-05-15,7.5
2023-05-16,7.5
2023-05-17,6.75
2023-05-18,5.5
2023-05-19,5.5
2023-05-20,11.0
2023-05-21,10.0
2023-05-22,5.5
2023-05-23,7.5
2023-05-24,7.0
2023-05-25,7.25
2023-05-26,8.75
2023-05-27,6.0
2023-05-28,6.15
2023-05-29,4.0
2023-05-30,6.49
2023-05-31,5.24
2023-06-01,8.49
2023-06-02,3.99
